taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene
24885, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 24885; DQ824877.1 gg_id:189055 human fecal clone RL185_aao70d10, DQ824877.1 gg_id:189055 human fecal clone RL185_aao70d10
44018, g__Vagococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Vagococcus; s__unclassified; 44018; FJ211190.1 gg_id:334656 Vagococcus sp. str. AC-1, FJ211190.1 gg_id:334656 Vagococcus sp. str. AC-1
18876, g__Clostridium, s__Clostridium bolteae, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__Clostridium bolteae; 18876; FJ371143.1 gg_id:360723 feces adult twins and mothers; TS6 clone TS6_a01d12, FJ371143.1 gg_id:360723 feces adult twins and mothers TS6 clone TS6_a01d12
18321, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__unclassified; 18321; DQ327420.1 gg_id:145342 Metagenomic gut microbiome healthy human stool clone E979, DQ327420.1 gg_id:145342 Metagenomic gut microbiome healthy human stool clone E979
71657, g__Bulleidia, s__unclassified, p__Tenericutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae,k__Bacteria; p__Tenericutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__unclassified; 71657; EU344303.1 gg_id:260783 Foregut Fermentation Birds: Hoatzin Crop Supports Case Convergence Ruminants adult hoatzin crop clone hoa13_60D08, EU344303.1 gg_id:260783 Foregut Fermentation Birds: Hoatzin Crop Supports Case Convergence Ruminants adult hoatzin crop clone hoa13_60D08
30734, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 30734; GQ112782.1 gg_id:442041 Topographical and Temporal Human Skin Microbiome skin nare clone nbw588b08c1, GQ112782.1 gg_id:442041 Topographical and Temporal Human Skin Microbiome skin nare clone nbw588b08c1
4427, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 4427; NC_008253.1 gg_id:162759 Escherichia coli str. 536, NC_008253.1 gg_id:162759 Escherichia coli str. 536
70247, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 70247; EU844360.1 gg_id:351498 metagenomics random sampling pyrosequencing rumen fluid fiber adherent microbiome steer 64; 6 week 1 hour after feeding clone 1103200828341, EU844360.1 gg_id:351498 metagenomics random sampling pyrosequencing rumen fluid fiber adherent microbiome steer 64 6 week 1 hour after feeding clone 1103200828341
52947, g__sfC, s__unclassified, p__WPS-2, c__unclassified, o__unclassified, f__unclassified,k__Bacteria; p__WPS-2; c__unclassified; o__unclassified; f__unclassified; g__sfC; s__unclassified; 52947; EU475339.1 gg_id:299049 rock hyrax feces clone RHSD_aaa03d09, EU475339.1 gg_id:299049 rock hyrax feces clone RHSD_aaa03d09
10650, g__Aquabacterium, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Aquabacteriaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Aquabacteriaceae; g__Aquabacterium; s__unclassified; 10650; GQ102596.1 gg_id:410127 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw693f10c1, GQ102596.1 gg_id:410127 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw693f10c1
